cbo,wmc,dit
9,21,2
3,1,1
3,1,1
3,1,2
1,1,1
3,1,1
2,1,1
2,1,1
0,1,1
2,1,1
0,1,1
2,1,1
1,1,1
1,1,1
2,1,1
1,1,1
3,4,1
8,2,2
2,1,1
1,1,1
7,2,2
0,2,1
0,2,1
1,6,3
2,8,1
3,1,1
11,3,8
7,8,3
3,1,1
4,1,1
9,9,2
1,1,1
13,31,2
2,3,1
1,5,1
9,8,3
8,7,1
6,6,1
3,4,1
17,28,2
4,2,1
0,1,1
0,1,1
13,9,2
8,14,2
8,2,3
4,5,2
7,2,3
5,2,1
1,1,1
2,1,1
1,1,1
1,1,1
1,1,1
0,1,1
0,1,1
3,1,1
0,1,1
2,1,1
1,3,2
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
2,1,1
2,1,1
0,1,1
0,1,1
0,2,1
1,1,1
1,1,1
0,2,1
0,1,1
0,1,1
0,3,1
0,1,1
4,1,1
0,1,1
1,1,1
8,15,3
2,1,1
0,2,1
31,125,2
2,1,1
3,1,1
11,23,2
4,1,3
0,1,1
0,3,1
0,1,1
2,1,1
0,1,1
0,3,1
0,1,1
0,1,1
2,1,1
0,2,1
0,1,1
0,1,1
3,2,1
0,1,1
0,0,1
13,29,2
1,4,1
10,18,3
7,2,3
7,3,1
1,1,1
1,1,1
0,1,1
1,1,1
1,1,1
0,1,1
0,2,1
3,2,1
1,1,1
6,2,3
1,1,1
0,1,1
1,1,1
2,1,1
0,1,1
2,1,1
3,1,1
0,1,1
2,1,1
1,1,1
0,1,1
0,1,1
4,5,5
3,2,1
6,2,3
0,6,1
2,1,1
7,2,5
0,1,1
0,1,1
3,3,2
0,1,1
0,2,1
0,1,1
0,1,1
7,10,2
2,1,1
10,49,3
1,1,1
5,2,1
0,1,1
0,1,1
4,2,2
0,1,1
4,7,2
0,1,1
4,3,2
0,1,1
1,1,1
0,1,1
3,5,2
3,3,1
6,2,3
10,36,3
0,1,1
1,1,1
13,36,4
1,1,1
0,1,1
2,1,1
0,1,1
3,4,2
1,1,1
2,3,1
3,1,1
2,1,1
1,1,1
0,1,1
0,1,1
1,1,1
0,1,1
0,1,1
1,1,1
0,1,1
2,1,1
6,12,2
8,2,6
4,5,1
2,1,2
9,19,4
12,11,2
5,6,1
7,31,2
19,29,2
5,4,2
0,1,1
0,1,1
0,1,1
0,1,1
1,1,1
8,2,3
0,1,1
0,2,1
10,3,6
7,9,4
1,1,1
3,1,2
4,3,2
1,1,1
1,1,1
3,1,1
0,1,1
0,1,1
0,1,1
3,1,1
0,0,1
1,1,1
0,3,1
1,1,1
0,3,1
0,3,1
0,1,1
11,3,4
0,1,1
0,1,1
0,1,1
15,3,1
1,1,1
1,1,1
0,1,1
2,1,1
0,1,1
5,11,1
1,1,1
0,1,1
0,1,1
3,5,2
0,1,1
10,23,2
11,37,2
1,1,1
3,1,1
0,1,1
0,1,1
0,1,1
2,1,1
1,2,1
1,1,1
0,1,1
0,1,1
1,1,1
1,1,1
0,1,1
1,1,1
2,1,1
1,1,1
1,1,1
0,7,1
1,1,1
1,1,1
1,1,1
0,2,1
1,2,1
1,1,1
1,2,1
1,1,1
2,1,1
0,1,1
2,1,1
0,1,1
1,1,1
2,1,1
2,1,1
2,1,1
3,1,1
3,1,1
1,2,1
1,1,1
1,1,1
0,1,1
7,24,2
0,4,1
2,1,1
1,1,1
1,1,1
0,1,1
1,1,1
2,1,1
3,2,1
2,1,1
3,1,1
14,21,2
1,1,1
2,1,1
0,1,1
0,1,1
11,21,3
0,1,1
2,1,1
0,1,1
1,1,1
2,1,1
0,1,1
2,1,1
1,1,1
8,11,2
2,1,1
3,1,1
0,1,1
4,1,2
8,15,2
2,15,3
3,1,3
0,1,1
12,5,2
4,1,3
2,1,1
3,1,1
1,1,1
2,2,1
2,2,1
2,1,1
1,1,1
3,1,1
3,1,1
0,1,1
0,1,1
2,1,1
2,2,1
0,1,1
1,1,1
0,5,1
0,1,1
2,1,1
0,1,1
0,1,1
2,1,1
0,1,1
0,1,1
2,1,1
0,1,1
2,3,1
1,1,1
1,1,1
2,1,1
2,1,1
2,3,1
0,1,1
2,3,1
2,3,1
0,7,1
2,3,1
0,5,1
1,1,1
1,1,1
1,1,1
0,2,1
0,2,1
1,1,1
0,1,1
2,1,1
0,2,1
0,2,1
0,2,1
0,1,1
0,1,1
1,1,1
0,1,1
9,18,2
10,3,4
1,1,1
14,20,3
1,1,1
1,1,1
1,1,1
1,1,1
1,1,1
4,1,3
4,3,2
2,1,1
3,1,3
2,1,1
0,1,1
2,1,1
0,1,1
2,1,1
5,15,1
2,1,1
1,1,1
1,1,1
1,1,1
1,1,1
5,4,2
2,1,1
10,19,3
2,1,1
1,1,1
3,5,2
1,1,1
1,1,1
